ID,YEAR,VIN_1,VIN_2,VIN_3,VIN_15,VIN_16,VIN_17,ENGINE_VOLUME,FUEL_TYPE,BODY_TYPE,TYPE_OF_DRIVE,INTERIOR_TYPE,TRANSM_TYPE,AUTO_CONDITION,AVG_COST,ESTIM_COST
597,1,Z,9,4,0,0,6,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Отличное,2757777.778,2779000
598,2,X,4,X,4,8,6,2,Бензин,Седан,Задний привод,КОЖА,АКПП,Отличное,8032941.176,8000000
599,9,W,O,L,1,2,2,1.6,Бензин,Минивэн,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2386746.988,2159000
600,9,S,H,S,7,1,7,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,4264044.944,3978000
601,18,W,V,W,0,7,2,1.8,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1266666.667,850000
602,9,6,T,1,6,1,9,2.4,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3214444.444,2766000
603,11,5,U,X,6,9,9,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,4500000,3800000
604,14,S,H,S,3,5,8,2,Бензин,Кроссовер,Полный привод,КОМБИНИРОВАННЫЙ,МКПП,Удовлетворительное,2819512.195,2490000
605,11,J,T,H,4,7,1,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,4286419.753,3483000
606,5,K,N,M,6,7,7,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2432051.282,2165000
607,10,J,N,R,2,2,5,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4526744.186,4059000
608,12,J,T,D,6,9,8,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,3004761.905,2709000
609,5,K,M,H,5,8,8,1.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,2461797.753,2193000
610,9,J,M,Y,6,3,5,3,Бензин-Газ,Внедорожник,Полный привод,КОЖА,АКПП,Хорошее,5320253.165,4312000
611,12,W,A,U,9,6,2,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2004938.272,2062000
612,14,J,T,J,0,0,7,3,Бензин,Кроссовер,Передний привод,КОЖА,АКПП,Удовлетворительное,3100000,2695000
613,3,X,W,7,1,9,6,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,6194000,6030000
614,9,X,U,F,7,1,4,3.2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3648314.607,3100000
615,4,X,W,7,2,6,5,2.5,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Хорошее,6004494.382,5376000
616,5,J,T,E,3,5,0,2.7,Бензин,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Отличное,9480208.333,9000000
617,3,K,L,1,6,9,1,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3539743.59,2706000
618,8,J,T,D,7,9,3,1.5,Гибрид,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Хорошее,2607142.857,2588000
619,4,X,W,7,7,3,3,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,5881914.894,5762000
620,1,X,W,8,6,5,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,3183333.333,2871000
621,0,J,T,M,5,8,5,2,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Отличное,8808333.333,8700000
622,3,X,W,8,8,0,5,1.6,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2730952.381,2570000
623,12,S,B,1,3,0,9,2,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Удовлетворительное,2513953.488,2112000
624,15,J,M,Z,9,3,4,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,МКПП,Удовлетворительное,2297435.897,2000000
625,13,W,V,G,4,5,8,3.2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,3050602.41,2794000
626,11,J,T,D,1,8,7,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3409302.326,2790000
627,12,W,V,W,0,5,8,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1736708.861,1300000
628,6,Z,8,N,6,1,0,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,4001162.791,3783000
629,12,S,J,N,5,7,6,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1795121.951,1500000
630,14,J,T,E,3,6,5,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3710714.286,3133000
631,4,T,M,B,1,5,1,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,4159259.259,4000000
632,1,X,7,L,6,3,6,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Отличное,2795402.299,2651000
633,10,J,T,N,7,0,9,3.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3700000,3149000
634,11,J,M,Y,1,3,9,1.3,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1514285.714,922000
635,12,J,A,4,1,8,6,2.4,Бензин,Кроссовер,Передний привод,КОЖА,АКПП,Удовлетворительное,2804819.277,2058000
636,11,W,D,B,6,8,9,2.2,Дизель,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,2818072.289,2500000
637,2,Z,9,4,4,5,2,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2833734.94,2370000
638,4,T,M,B,6,0,3,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3210256.41,2619000
639,7,1,N,X,9,7,6,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3412820.513,3062000
640,11,J,T,H,7,5,4,3,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,4285714.286,3135000
641,9,S,J,N,8,8,6,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,2362195.122,2195000
642,3,K,L,1,0,2,5,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Отличное,3154736.842,2807000
643,9,S,B,1,1,9,4,2,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3548780.488,2604000
644,3,K,L,1,4,0,9,1.8,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4020454.545,4020000
645,4,X,W,7,2,1,3,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,5884375,5670000
646,9,J,T,D,5,0,0,1.3,Бензин-Газ,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1948148.148,1907000
647,2,K,L,1,8,3,8,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,КОЖА,АКПП,Хорошее,3715476.19,3323000
648,4,X,W,8,2,0,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2510714.286,2280000
649,5,X,W,7,1,2,5,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,4579120.879,4926000
650,3,T,M,B,6,7,4,1.8,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,4148888.889,4050000
651,10,4,T,1,0,4,4,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3048809.524,2624000
652,9,K,L,1,0,3,0,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1842682.927,1521000
653,9,J,T,N,1,5,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2529761.905,2290000
654,3,X,U,F,3,2,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2441025.641,2239000
655,10,4,T,1,5,0,1,3,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2878571.429,2790000
656,10,K,L,1,0,1,9,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1682051.282,1400000
657,2,J,T,E,7,9,6,4,Бензин-Газ,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,15882758.62,14460000
658,2,Z,9,4,6,7,7,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3017857.143,2967000
659,15,J,T,E,2,8,5,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,2758974.359,2252000
660,13,J,F,1,9,6,6,2.5,Бензин,Универсал,Полный привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,2500000,2183000
661,15,3,V,W,3,6,8,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1125301.205,1097000
662,11,V,F,3,0,7,8,2,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Хорошее,1521176.471,1403000
663,2,J,T,E,4,1,0,2.7,Бензин-Газ,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,11995000,11812000
664,10,J,H,M,6,1,3,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2438461.538,1900000
665,3,Z,9,4,2,4,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2862650.602,2430000
666,14,4,T,3,6,7,1,3,Бензин,Минивэн,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3486301.37,2428000
667,14,W,D,B,1,2,0,2.6,Бензин,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,2013953.488,2002000
668,8,J,F,1,8,6,2,1.5,Бензин,Хэтчбек/Лифтбек,Полный привод,ВЕЛЮР,МКПП,Удовлетворительное,2464634.146,2220000
669,4,X,7,L,9,3,6,2,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Отличное,3505434.783,3300000
670,9,W,V,W,1,2,4,2,Бензин,Седан,Передний привод,КОМБИНИРОВАННЫЙ,МКПП,Хорошее,2458333.333,2300000
671,7,J,T,N,1,1,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2842857.143,2700000
672,13,J,F,1,9,1,0,2,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,2621951.22,2225000
673,10,N,M,T,8,9,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2494871.795,1993000
674,15,W,V,W,2,4,8,1.4,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Хорошее,1248809.524,1123000
675,13,4,S,3,2,1,5,2.5,Бензин,Универсал,Полный привод,ВЕЛЮР,АКПП,Хорошее,2579012.346,2200000
676,12,J,T,H,1,4,9,3.3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3244444.444,2677000
677,10,2,T,2,5,2,0,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,5459523.81,4952000
678,12,3,V,W,8,7,6,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1536781.609,1400000
679,2,5,T,D,0,1,5,3.5,Бензин-Газ,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,14371910.11,12505000
680,15,W,B,A,3,7,5,3,Бензин-Газ,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3077380.952,2500000
681,6,J,T,D,8,1,3,2.4,Бензин,Седан,Передний привод,КОЖА,МКПП,Удовлетворительное,4016279.07,1900000
682,11,S,B,1,0,6,6,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2607142.857,2500000
683,15,J,S,3,8,9,3,2.7,Бензин,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Хорошее,2029761.905,1825000
684,1,X,W,7,0,7,1,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,7871276.596,7626000
685,9,K,M,H,3,9,4,2,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2043023.256,1952000
686,18,J,N,1,0,8,0,2,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1327586.207,1100000
687,7,K,M,H,3,8,9,1.4,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Хорошее,1846428.571,1600000
688,11,J,T,E,3,7,9,2.7,Бензин-Газ,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,5974390.244,4880000
689,2,Z,9,4,0,8,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,2539325.843,2211000
690,5,X,W,8,0,0,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2901282.051,2444000
691,6,J,F,2,6,4,1,2.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,4985714.286,4131000
692,3,U,5,Y,0,3,3,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,3508045.977,3330000
693,9,J,M,Y,1,5,0,3,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Хорошее,5326582.278,4604000
694,11,W,B,A,2,6,2,2.5,Бензин,Седан,Задний привод,КОЖА,АКПП,Хорошее,3621428.571,3300000
695,4,Z,9,4,0,2,3,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2941975.309,2432000
696,2,X,W,8,6,9,7,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3196296.296,2735000
697,11,W,V,W,3,6,3,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2236904.762,1995000
698,5,K,M,H,0,5,1,2.4,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,5562921.348,5029000
699,10,W,V,G,6,0,4,3.2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,4186904.762,3696000
700,15,4,T,1,2,3,0,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2253488.372,2126000
701,9,1,N,X,4,6,3,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2439285.714,2300000
702,2,X,W,7,4,7,2,2,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,5949450.549,5730000
703,12,S,B,1,8,2,7,1.8,Бензин,Универсал,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2723170.732,2287000
704,9,2,T,1,2,2,2,1.8,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2687179.487,2200000
705,3,J,T,M,0,6,3,4.6,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,17274736.84,16024000
706,6,J,T,M,0,7,0,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,5976923.077,4931000
707,10,J,F,1,3,6,3,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,3637662.338,3200000
708,5,J,T,M,1,3,9,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,6858441.558,5498000
709,2,X,W,7,6,7,7,2.5,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Хорошее,6865957.447,6538000
710,6,K,L,1,7,1,5,1.8,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,2628571.429,2300000
711,2,K,N,A,0,0,5,1.6,Бензин,Седан,Передний привод,КОЖА,АКПП,Отличное,4091578.947,3765000
712,10,J,T,E,0,1,8,4.5,Бензин-Газ,Внедорожник,Полный привод,ВЕЛЮР,АКПП,Хорошее,5735714.286,6000000
713,5,K,M,H,5,1,1,2,Бензин,Кроссовер,Полный привод,КОМБИНИРОВАННЫЙ,АКПП,Хорошее,4607594.937,3929000
714,10,K,M,H,2,4,3,1.4,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1550000,1297000
715,19,W,V,W,0,9,7,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1171084.337,1000000
716,3,J,T,E,8,4,6,2.7,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,11025000,10602000
717,3,K,N,A,2,0,8,2.4,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,6532584.27,5700000
718,11,4,T,1,5,6,3,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2659523.81,2249000
719,15,J,N,8,9,1,9,3.5,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,2500000,1800000
720,10,4,T,1,8,2,4,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3046428.571,2579000
721,4,J,N,1,5,7,7,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,5367368.421,5111000
722,12,S,J,N,2,9,0,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1825641.026,1301000
723,13,4,T,1,5,6,1,3,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,2732142.857,2270000
724,4,Z,9,4,1,3,9,1.6,Бензин-Газ,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Хорошее,2629761.905,2504000
725,9,J,N,1,3,2,0,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2144871.795,1679000
726,1,Z,9,4,3,4,2,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3768674.699,3255000
727,3,X,W,8,3,0,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2884615.385,2249000
728,3,J,T,M,6,8,9,2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,7451578.947,6961000
729,3,X,9,L,9,7,8,1.7,Бензин,Кроссовер,Полный привод,ВЕЛЮР,МКПП,Хорошее,2221348.315,2008000
730,10,W,A,U,3,5,3,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2547619.048,2228000
731,1,Z,9,4,2,7,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3485057.471,3296000
732,3,V,F,3,0,8,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,2654444.444,2302000
733,1,X,W,8,6,6,1,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Отличное,2925555.556,2700000
734,7,K,N,A,3,0,5,1.6,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2852054.795,2600000
735,7,1,N,X,5,7,3,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2960714.286,2808000
736,9,6,T,1,8,6,1,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3242857.143,2794000
737,18,J,N,1,2,5,8,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1409195.402,1119000
738,10,6,T,1,2,3,1,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3271794.872,2573000
739,2,Z,9,4,6,6,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,3024096.386,2698000
740,9,1,N,4,8,5,6,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2491025.641,2100000
741,3,J,T,E,3,8,1,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,10410000,9450000
742,9,J,T,N,7,4,6,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,2623076.923,1989000
743,9,4,T,1,6,1,2,2.4,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Хорошее,3409523.81,3102000
744,14,J,M,Z,0,3,8,2.3,Бензин,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1732051.282,1400000
745,1,Z,9,4,3,2,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3527777.778,3135000
746,3,T,M,B,5,0,2,1.8,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,4633333.333,3600000
747,5,J,T,N,6,4,0,2.5,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,4523595.506,5009000
748,3,W,D,D,2,8,4,1.6,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,8275280.899,7800000
749,10,6,T,1,3,8,2,2.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3487179.487,2771000
750,3,X,7,L,3,0,6,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1804938.272,1500000
751,6,2,T,3,8,7,2,2.5,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,4965555.556,4830000
752,9,J,T,N,5,4,5,2.4,Бензин-Газ,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3413953.488,3207000
753,9,J,T,N,3,3,7,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2545238.095,2134000
754,10,3,V,W,9,4,7,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,1858974.359,1700000
755,18,4,J,G,4,0,1,3.2,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Удовлетворительное,2026506.024,1900000
756,6,X,7,L,6,5,0,1.6,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,1539743.59,1299000
757,11,6,T,1,5,0,8,3,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3219512.195,2268000
758,3,U,5,Y,6,4,2,2,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Отличное,5723076.923,5233000
759,9,5,U,X,2,8,8,4.8,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Хорошее,6066666.667,5554000
760,1,X,W,7,8,8,4,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,6850526.316,6665000
761,10,4,S,4,6,8,3,3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Хорошее,3634831.461,3240000
762,3,Z,9,4,0,9,0,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2656321.839,2434000
763,12,J,T,E,0,5,4,3.3,Бензин,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Удовлетворительное,4304938.272,3287000
764,4,J,T,N,4,8,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3776404.494,3528000
765,6,J,T,E,0,7,6,4,Бензин,Внедорожник,Полный привод,КОЖА,АКПП,Отличное,12133333.33,12390000
766,9,4,T,1,5,0,6,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Хорошее,3503571.429,2943000
767,2,K,N,A,4,5,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,4340963.855,3629000
768,15,W,O,L,3,5,7,2.2,Бензин,Минивэн,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,1527710.843,1351000
769,8,J,M,Z,6,9,5,1.6,Бензин,Седан,Передний привод,КОМБИНИРОВАННЫЙ,АКПП,Удовлетворительное,2553086.42,2056000
770,10,X,9,F,4,9,0,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1258333.333,1311000
771,1,X,W,8,4,7,9,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,3473333.333,3503000
772,15,W,A,U,8,7,6,1.6,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1703571.429,1631000
773,12,J,T,J,3,5,8,3.3,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,4502222.222,4170000
774,9,4,S,4,1,1,4,3.6,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4301162.791,4052000
775,9,J,T,N,9,9,0,3.5,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,3469135.802,3160000
776,5,X,U,F,1,0,8,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2416666.667,2052000
777,9,S,B,1,9,1,5,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,3073809.524,2597000
778,15,4,J,G,1,5,5,3.2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,2648148.148,2337000
779,3,K,N,A,0,6,7,2,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Отличное,4107291.667,4111000
780,9,J,T,M,6,2,7,2,Бензин-Газ,Кроссовер,Полный привод,ВЕЛЮР,АКПП,Хорошее,4367901.235,4058000
781,2,M,M,C,2,0,8,2.5,Дизель,Пикап,Полный привод,ВЕЛЮР,МКПП,Отличное,6935789.474,6000000
782,3,N,M,T,1,9,9,1.8,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,4103370.787,4590000
783,12,S,B,1,2,7,7,2,Бензин,Универсал,Передний привод,КОЖА,АКПП,Отличное,2775789.474,2600000
784,11,J,T,D,8,0,1,2.4,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2782558.14,2673000
785,10,X,4,X,6,0,4,3,Бензин-Газ,Седан,Задний привод,КОЖА,АКПП,Удовлетворительное,3668604.651,3374000
786,10,W,B,A,5,8,8,3,Бензин,Седан,Полный привод,КОЖА,АКПП,Хорошее,4076190.476,3610000
787,11,3,V,W,4,3,4,2.5,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,2018518.519,1420000
788,3,X,W,7,9,4,2,2.5,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,6232183.908,5500000
789,2,K,L,1,9,1,7,1.6,Бензин,Седан,Передний привод,ВЕЛЮР,АКПП,Хорошее,2491666.667,2326000
790,10,W,D,C,8,0,4,3.5,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Удовлетворительное,4472093.023,3660000
791,3,S,J,N,7,3,4,1.6,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Хорошее,4267857.143,3954000
792,3,K,L,1,5,8,7,1.8,Бензин,Минивэн,Передний привод,ВЕЛЮР,МКПП,Удовлетворительное,3951219.512,3387000
793,5,K,M,H,9,9,1,1.6,Бензин,Седан,Передний привод,КОЖА,АКПП,Удовлетворительное,3509302.326,3038000
794,2,J,T,H,0,7,7,3.5,Бензин,Седан,Полный привод,КОЖА,АКПП,Отличное,14510000,13000000
795,6,4,T,3,9,3,6,2.7,Бензин,Кроссовер,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,6656410.256,5846000
796,5,X,7,L,5,1,8,1.4,Бензин,Седан,Передний привод,ВЕЛЮР,МКПП,Хорошее,1123809.524,1007000
797,9,1,N,4,9,0,7,2.5,Бензин-Газ,Седан,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,2601369.863,2426000
798,1,X,W,8,6,5,4,2,Бензин,Кроссовер,Полный привод,КОЖА,АКПП,Отличное,7515555.556,6485000
799,7,J,T,D,0,3,8,1.8,Гибрид,Хэтчбек/Лифтбек,Передний привод,ВЕЛЮР,АКПП,Удовлетворительное,4276829.268,3825000
